CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,325,1,77183.6,3
12347.0,1,182,4310.0,0
12348.0,74,31,1797.24,1
12349.0,18,73,1757.55,0
12350.0,309,17,334.4,3
12352.0,35,85,2506.04,0
12353.0,203,4,89.0,3
12354.0,231,58,1079.4,3
12355.0,213,13,459.4,3
12356.0,22,59,2811.43,0
12357.0,32,131,6207.67,0
12358.0,1,19,1168.06,0
12359.0,57,248,6372.58,0
12360.0,51,129,2662.06,0
12361.0,286,10,189.9,3
12362.0,2,266,5226.23,0
12363.0,109,23,552.0,1
12364.0,7,85,1313.1,0
12365.0,290,22,641.38,3
12367.0,3,11,168.9,0
12370.0,50,167,3545.69,0
12371.0,44,63,1887.96,0
12372.0,71,52,1298.04,1
12373.0,310,14,364.6,3
12374.0,24,33,742.9300000000001,0
12375.0,10,17,457.5,0
12377.0,314,77,1628.12,3
12378.0,129,219,4008.62,1
12379.0,81,40,852.24,1
12380.0,21,104,2724.81,0
12381.0,4,87,1845.31,0
12383.0,184,99,1850.56,1
12384.0,28,27,585.27,0
12386.0,337,10,401.9,3
12388.0,15,100,2780.66,0
12390.0,79,32,549.84,1
12391.0,21,100,460.89,0
12393.0,71,64,1582.6000000000001,1
12394.0,63,27,1272.48,1
12395.0,18,156,3018.63,0
12397.0,35,126,2409.9,0
12398.0,45,85,1635.6599999999999,0
12399.0,118,59,1108.65,1
12401.0,302,5,84.3,3
12402.0,322,11,225.6,3
12403.0,49,5,427.7,1
12405.0,148,54,1710.39,1
12406.0,21,105,3415.3,0
12407.0,49,77,1708.1200000000001,0
12408.0,32,105,2888.55,0
12409.0,78,109,11072.67,0
12410.0,308,26,693.3299999999999,3
12412.0,74,61,1226.88,1
12413.0,66,38,758.1,1
12414.0,216,18,562.41,3
12415.0,23,716,124914.53,2
12417.0,2,192,3649.1,0
12418.0,112,34,668.58,1
12420.0,63,29,600.39,1
12421.0,15,45,807.04,0
12422.0,95,39,803.5600000000001,1
12423.0,0,125,1859.31,0
12424.0,162,30,1760.96,1
12425.0,77,36,777.2,1
12426.0,194,30,582.73,3
12427.0,21,31,825.8,0
12428.0,25,294,7956.46,0
12429.0,8,97,3750.4,0
12430.0,42,11,256.4,1
12431.0,35,236,6487.45,0
12432.0,42,108,5059.32,0
12433.0,0,420,13375.87,0
12434.0,84,50,806.14,1
12435.0,79,36,7829.89,1
12436.0,99,16,509.01,1
12437.0,1,200,4951.41,0
12438.0,13,98,2906.85,0
12441.0,366,11,173.55,3
12442.0,2,12,172.06,0
12444.0,20,177,5005.46,0
12445.0,21,4,133.4,0
12446.0,57,58,1002.3100000000001,1
12447.0,242,26,476.49,3
12448.0,43,22,449.45,1
12449.0,21,191,4067.29,0
12450.0,155,8,197.88,1
12451.0,10,354,9035.52,0
12452.0,16,22,430.57,0
12453.0,133,43,707.09,1
12454.0,55,15,3528.34,1
12455.0,72,90,2466.86,1
12456.0,43,125,3181.04,0
12457.0,65,63,2363.23,1
12458.0,70,38,947.4,1
12461.0,93,35,826.88,1
12462.0,18,62,1189.59,0
12463.0,52,83,1344.78,0
12464.0,9,29,1212.05,0
12465.0,16,47,742.1899999999999,0
12468.0,187,38,729.5400000000001,3
12471.0,1,460,19824.05,0
12472.0,31,339,6572.11,0
12473.0,28,168,3938.5499999999997,0
12474.0,16,424,7375.79,0
12475.0,53,36,723.38,1
12476.0,15,233,6816.42,0
12477.0,22,300,13219.74,0
12478.0,3,36,680.99,0
12479.0,10,31,527.2,0
12480.0,27,154,3281.63,0
12481.0,22,217,5596.32,0
12483.0,16,75,2484.98,0
12484.0,32,346,4541.72,0
12488.0,9,55,1298.66,0
12489.0,335,15,334.93,3
12490.0,4,245,5417.93,0
12491.0,38,26,460.40000000000003,0
12492.0,62,20,263.21000000000004,1
12493.0,165,22,433.74,1
12494.0,15,77,1246.1000000000001,0
12497.0,81,14,1043.1,1
12498.0,20,23,403.70000000000005,0
12500.0,22,61,4257.82,0
12501.0,336,149,2169.39,3
12502.0,95,147,3723.87,1
12504.0,17,9,482.04999999999995,0
12506.0,232,23,73.5,3
12507.0,133,22,1304.81,1
12508.0,25,69,398.27,0
12509.0,283,7,176.5,3
12510.0,142,33,982.5699999999999,1
